Date,Open,High,Low,Close,Close_Dolar
2022-05-16,108685.0,108685.0,108199.0,108233.0,5.058300018310547
2022-05-17,108246.0,109774.0,108245.0,108789.0,5.059700012207031
2022-05-18,107903.0,108096.0,106038.0,106247.0,4.9380998611450195
2022-05-19,106249.0,107420.0,105760.0,107005.0,4.96750020980835
2022-05-20,108520.0,108795.0,107351.0,108488.0,4.929999828338623
2022-05-23,108500.0,110680.0,108500.0,110346.0,4.880199909210205
2022-05-24,110340.0,110635.0,108399.0,110581.0,4.813499927520752
2022-05-25,110085.0,111006.0,109699.0,110580.0,4.817800045013428
2022-05-26,110577.0,112102.0,110388.0,111890.0,4.822800159454346
2022-05-27,111890.0,112441.0,111558.0,111942.0,4.768199920654297
2022-05-30,111944.0,112690.0,110655.0,111032.0,4.729599952697754
2022-05-31,111036.0,111903.0,110685.0,111351.0,4.752399921417236
2022-06-01,111351.0,111931.0,110822.0,111360.0,4.730400085449219
2022-06-02,111363.0,112709.0,111218.0,112393.0,4.815499782562256
2022-06-03,112392.0,112392.0,110935.0,111102.0,4.7957000732421875
2022-06-06,111102.0,111935.0,110015.0,110186.0,4.775000095367432
2022-06-07,110185.0,110435.0,109394.0,110070.0,4.7941999435424805
2022-06-08,110067.0,110142.0,108045.0,108368.0,4.867526054382324
2022-06-09,108367.0,108510.0,107068.0,107094.0,4.898099899291992
2022-06-10,107091.0,107092.0,104648.0,105481.0,4.903299808502197
2022-06-13,105476.0,105478.0,101700.0,102598.0,4.984000205993652
2022-06-14,102598.0,103328.0,101325.0,102063.0,5.113399982452393
2022-06-15,102068.0,103952.0,102046.0,102807.0,5.116099834442139
2022-06-17,102800.0,102801.0,98402.0,99825.0,5.052199840545654
2022-06-20,99824.0,100481.0,98409.0,99853.0,5.152100086212158
2022-06-21,99854.0,101069.0,99167.0,99685.0,5.18720006942749
2022-06-22,99678.0,100374.0,98050.0,99522.0,5.122799873352051
2022-06-23,99523.0,100232.0,97775.0,98080.0,5.193600177764893
2022-06-24,98081.0,99313.0,98031.0,98672.0,5.23799991607666
2022-06-27,98673.0,101106.0,98672.0,100764.0,5.241399765014648
2022-06-28,100766.0,102237.0,99956.0,100591.0,5.236800193786621
2022-06-29,100592.0,101313.0,99218.0,99622.0,5.266600131988525
2022-06-30,99619.0,99619.0,97758.0,98542.0,5.1809000968933105
2022-07-01,98542.0,99340.0,97231.0,98954.0,5.251999855041504
2022-07-04,98952.0,99353.0,98264.0,98609.0,5.330999851226807
2022-07-05,98608.0,98608.0,96499.0,98295.0,5.3282999992370605
2022-07-06,98294.0,99141.0,97423.0,98719.0,5.385200023651123
2022-07-07,98722.0,101420.0,98722.0,100730.0,5.427999973297119
2022-07-08,100732.0,101577.0,99958.0,100289.0,5.338200092315674
2022-07-11,100282.0,100282.0,97854.0,98212.0,5.254000186920166
2022-07-12,98212.0,98737.0,97253.0,98271.0,5.377200126647949
2022-07-13,98258.0,98928.0,97403.0,97881.0,5.436500072479248
2022-07-14,97879.0,97879.0,95431.0,96121.0,5.390900135040283
2022-07-15,96119.0,96971.0,95267.0,96551.0,5.422800064086914
2022-07-18,96553.0,98291.0,96553.0,96916.0,5.410099983215332
2022-07-19,96920.0,98346.0,96917.0,98245.0,5.436800003051758
2022-07-20,98244.0,98366.0,97277.0,98287.0,5.413099765777588
2022-07-21,98286.0,99057.0,97088.0,99033.0,5.470200061798096
2022-07-22,99034.0,99724.0,98321.0,98925.0,5.497799873352051
2022-07-25,98926.0,100508.0,98925.0,100270.0,5.496699810028076
2022-07-26,100270.0,100753.0,99365.0,99772.0,5.356299877166748
2022-07-27,99773.0,101471.0,99772.0,101438.0,5.350100040435791
2022-07-28,101437.0,102686.0,101045.0,102597.0,5.243000030517578
2022-07-29,102597.0,103989.0,102514.0,103165.0,5.182700157165527
2022-08-01,103165.0,103317.0,101764.0,102225.0,5.171199798583984
2022-08-02,102225.0,103660.0,101694.0,103362.0,5.184000015258789
2022-08-03,103362.0,103878.0,102822.0,103775.0,5.277699947357178
2022-08-04,103777.0,106162.0,103777.0,105892.0,5.282700061798096
2022-08-05,105893.0,107176.0,105518.0,106472.0,5.211100101470947
2022-08-08,106473.0,108489.0,106473.0,108402.0,5.164599895477295
2022-08-09,108403.0,109331.0,107842.0,108651.0,5.110099792480469
2022-08-10,108658.0,110362.0,108657.0,110236.0,5.123700141906738
2022-08-11,110236.0,111310.0,109604.0,109718.0,5.093699932098389
2022-08-12,109718.0,112764.0,109718.0,112764.0,5.1570000648498535
2022-08-15,112767.0,113214.0,111067.0,113032.0,5.074900150299072
2022-08-16,113034.0,113626.0,112690.0,113512.0,5.095600128173828
2022-08-17,113508.0,114146.0,112483.0,113708.0,5.1417388916015625
2022-08-18,113708.0,114375.0,113304.0,113813.0,5.164999961853027
2022-08-19,113807.0,113807.0,111146.0,111496.0,5.166999816894531
2022-08-22,111487.0,111487.0,109858.0,110501.0,5.168399810791016
2022-08-23,110504.0,112965.0,110503.0,112857.0,5.156099796295166
2022-08-24,112856.0,113888.0,112632.0,112898.0,5.103499889373779
2022-08-25,112898.0,114156.0,112768.0,113532.0,5.110099792480469
2022-08-26,113533.0,114091.0,111978.0,112299.0,5.108699798583984
2022-08-29,112296.0,113222.0,111689.0,112323.0,5.0625
2022-08-30,112323.0,112869.0,110103.0,110431.0,5.027200222015381
2022-08-31,110431.0,111364.0,109523.0,109523.0,5.1219000816345215
